name,Date,datetime,Open,High,Low,Close,Volume,adj_close,ret,mon,momentum_total,momentum,runmeanPrice,price_mon,pprice,runmeanVol,runmeanVol50,volume_mon,vol,gray,blue,yellow,green
ORNUSDT,2022-07-04 20:00:00,1656979200000,1.209,1.221,1.167,1.178,560661.8,1.178,-0.025641025641025772,0,8.0,0,1.2682,-7.112442832360831,0,890878.36,1236184.96,-27.933247141269213,0,0,0,0,0
AVAUSDT,2022-07-04 20:00:00,1656979200000,0.602,0.61,0.575,0.58,183014.4,0.58,-0.03814262023217252,0,8.0,0,0.5736666666666665,1.1040092969204092,0,540071.08,754114.946,-28.383453628036175,0,0,0,0,0
DFUSDT,2022-07-04 20:00:00,1656979200000,0.0385,0.0387,0.0364,0.0368,6739507.0,0.0368,-0.04415584415584417,0,8.0,0,0.03656,0.6564551422319397,0,20299228.533333335,28482509.92,-28.730899803603638,0,0,0,0,0
GHSTUSDT,2022-07-04 20:00:00,1656979200000,1.313,1.323,1.301,1.303,62739.1,1.303,-0.009125475285171158,0,8.0,0,1.3130666666666666,-0.7666531275385867,0,146674.51333333334,206876.948,-29.100600742943417,0,0,0,0,0
OMGUSDT,2022-07-04 20:00:00,1656979200000,1.874,1.897,1.759,1.792,642340.3,1.792,-0.044266666666666676,0,8.0,0,1.8751333333333335,-4.433462509332678,0,1239734.4733333332,1858691.1090000002,-33.30067232094706,0,0,0,0,0
FIROUSDT,2022-07-04 20:00:00,1656979200000,1.447,1.447,1.351,1.364,175781.5,1.364,-0.05474705474705477,0,8.0,0,1.4108666666666667,-3.3218352785521863,0,216337.6533333332,324367.96599999996,-33.30486484188354,0,0,0,0,0
FORUSDT,2022-07-04 20:00:00,1656979200000,0.01665,0.0171,0.01607,0.01627,27175606.0,0.01627,-0.022235576923076872,0,8.0,0,0.016362666666666668,-0.5663298565841018,0,57657785.46666667,88803238.42,-35.07242923510191,0,0,0,0,0
CTXCUSDT,2022-07-04 20:00:00,1656979200000,0.111,0.113,0.1072,0.109,3776018.0,0.109,-0.01890189018901889,0,8.0,0,0.11134666666666666,-2.1075320320919624,0,12690271.200000009,20118018.58,-36.920869470635466,0,0,0,0,0
SFPUSDT,2022-07-04 20:00:00,1656979200000,0.3522,0.356,0.3296,0.3343,3718603.0,0.3343,-0.05028409090909092,0,8.0,0,0.35384,-5.522269952520914,0,6580341.066666666,10842970.8,-39.312378608760376,0,0,0,0,0
BLZUSDT,2022-07-04 20:00:00,1656979200000,0.092,0.0948,0.086,0.0883,25104797.0,0.0883,-0.04021739130434776,0,8.0,0,0.08982666666666667,-1.69956954133887,0,53170291.733333334,92415513.4,-42.46605382886578,0,0,0,0,0
XVSUSDT,2022-07-04 20:00:00,1656979200000,5.01,5.14,4.76,4.87,178930.29,4.87,-0.026000000000000023,0,8.0,0,4.846666666666667,0.4814305364511711,0,302250.85133333335,541325.0552000001,-44.16462928698865,0,0,0,0,0
TROYUSDT,2022-07-04 20:00:00,1656979200000,0.003485,0.003521,0.003354,0.003378,143185348.0,0.003378,-0.030981067125645412,0,8.0,0,0.0034128,-1.0196905766526076,0,408033273.53333336,735001095.18,-44.48535162612145,0,0,0,0,0
UTKUSDT,2022-07-04 20:00:00,1656979200000,0.1215,0.1236,0.1146,0.1172,3429114.0,0.1172,-0.03618421052631582,0,8.0,0,0.11927333333333333,-1.7383041752836594,0,4958241.8,9016978.3,-45.01215778682755,0,0,0,0,0
ONGUSDT,2022-07-04 20:00:00,1656979200000,0.3778,0.3842,0.358,0.3601,1319439.0,0.3601,-0.04735449735449737,0,8.0,0,0.37888666666666665,-4.9583868527088155,0,1980346.400000002,3687947.1,-46.30220156899751,0,0,0,0,0
DODOUSDT,2022-07-04 20:00:00,1656979200000,0.1286,0.1303,0.1177,0.1203,13200810.0,0.1203,-0.06526806526806528,0,8.0,0,0.1237,-2.7485852869846403,0,17378509.386666667,33038476.906000003,-47.399181154411465,0,0,0,0,0
TRXUPUSDT,2022-07-04 20:00:00,1656979200000,0.06081,0.06613,0.05917,0.0602,3719410.35,0.0602,-0.006764560303580303,0,8.0,0,0.05502466666666667,9.405478754982594,0,10659835.170666667,20860162.660600003,-48.898599957704945,0,0,0,0,0
FISUSDT,2022-07-04 20:00:00,1656979200000,0.3203,0.3325,0.3098,0.3129,2250847.0,0.3129,-0.023408239700374533,0,8.0,0,0.32103333333333334,-2.5334856193541664,0,3576279.466666667,7296288.36,-50.98494891906018,0,0,0,0,0
BNBDOWNUSDT,2022-07-04 20:00:00,1656979200000,0.0853,0.09219,0.0806,0.09035,12245146.8,0.09035,0.056601567068179204,1,8.0,0,0.09226333333333334,-2.073774341558585,0,11536565.375333333,24005739.866800003,-51.942471095054934,0,0,0,0,0
ASTRUSDT,2022-07-04 20:00:00,1656979200000,0.0444,0.045,0.042,0.0423,20699328.2,0.0423,-0.04729729729729737,0,8.0,0,0.0458,-7.641921397379919,0,45633393.513333336,96635717.264,-52.77792227829483,0,0,0,0,0
TOMOUSDT,2022-07-04 20:00:00,1656979200000,0.474,0.495,0.465,0.477,1647047.1,0.477,0.008456659619450413,1,8.0,0,0.4749333333333333,0.43514879281302526,0,1776274.0466666669,3814306.2782,-53.43126856858218,0,0,0,0,0
